Roč. 	Sem. 	Kód 	Predmet 	Skratka 	Rozsah 	Ukonč. 	Kredity 	Profil. 	Jadro 	Garant
1 	Z 	6BA0016 	aplikovaná algebra a teória grafov 	ApAlg 	2 - 2 - 0 	S 	5 	- 	- 	doc. PaedDr. Dalibor Gonda, PhD.
1 	Z 	6BI0014 	informatika pre manažérov 1 	InfM1 	2 - 0 - 2 	S 	5 	áno 	- 	doc. Ing. Marek Kvet, PhD.
1 	Z 	6BM0007 	manažérske prezentačné zručnosti 	MPZ 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Michal Varmus, PhD.
1 	Z 	6BM0026 	všeobecná ekonomická teória 	VET 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Ing. Alžbeta Kucharčíková, PhD.
1 	Z 	6UM0008 	manažment 1 	Mž1 	3 - 2 - 0 	S 	6 	áno 	áno 	doc. Ing. Viliam Lendel, PhD.
1 	L 	6BH0001 	etika a spoločenská zodpovednosť 	SZP 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Radoslav Jankal, PhD.
1 	L 	6BI0015 	informatika pre manažérov 2 	InfM2 	2 - 0 - 2 	S 	5 	áno 	- 	doc. Ing. Marek Kvet, PhD.
1 	L 	6BM0011 	marketing 	Mtg 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Mgr. Jakub Soviar, PhD.
1 	L 	6BM0015 	operačný manažment 	OM 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Ing. Milan Kubina, PhD.
1 	L 	6BM0017 	podniková ekonomika 	POE 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Mária Ďurišová, PhD.
2 	Z 	6BA0006 	matematická analýza 1 	MatA1 	2 - 2 - 1 	S 	6 	- 	- 	prof. Dr. Mgr. Ivan Cimrák
2 	Z 	6BU0001 	manažérska psychológia 	ManPsych 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Mgr. Jakub Soviar, PhD.
2 	Z 	6UM0001 	finančné účtovníctvo 	FÚ 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Anna Jacková, PhD.
2 	Z 	6UM0007 	podnikové financie 	PF 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Mária Ďurišová, PhD.
2 	L 	6BH0002 	sociológia 	Soc 	2 - 2 - 0 	S 	5 	áno 	áno 	prof. Mgr. Jakub Soviar, PhD.
2 	L 	6BI0038 	softvérové modelovanie 	SF 	2 - 0 - 2 	S 	5 	- 	- 	doc. Ing. Ján Janech, PhD.
2 	L 	6BM0006 	pravdepodobnosť a štatistika pre manažérov 	MnŠ 	2 - 1 - 2 	S 	6 	áno 	áno 	doc. Ing. Mária Ďurišová, PhD.
2 	L 	6BM0014 	mikroekonómia 	MiE 	2 - 2 - 0 	S 	5 	áno 	áno 	doc. Ing. Emese Tokarčíková, PhD.
